,id,Class,Classifier,K-Means,DBSCAN
0,sample_718,KIRC,KIRC,KIRC,KIRC
1,sample_391,BRCA,BRCA,BRCA,BRCA
2,sample_703,KIRC,KIRC,KIRC,KIRC
3,sample_452,BRCA,BRCA,BRCA,BRCA
4,sample_289,KIRC,KIRC,KIRC,KIRC
5,sample_123,BRCA,BRCA,BRCA,BRCA
6,sample_409,BRCA,BRCA,BRCA,BRCA
7,sample_245,LUAD,LUAD,LUAD,LUAD
8,sample_747,BRCA,BRCA,BRCA,BRCA
9,sample_189,LUAD,unknown,COAD,noise
10,sample_748,KIRC,KIRC,KIRC,KIRC
11,sample_100,BRCA,BRCA,BRCA,BRCA
12,sample_540,BRCA,BRCA,BRCA,BRCA
13,sample_320,LUAD,unknown,COAD,noise
14,sample_576,LUAD,LUAD,LUAD,LUAD
15,sample_210,LUAD,LUAD,LUAD,LUAD
16,sample_288,KIRC,unknown,PRAD,noise
17,sample_508,LUAD,LUAD,LUAD,LUAD
18,sample_691,LUAD,LUAD,LUAD,LUAD
19,sample_246,KIRC,KIRC,KIRC,KIRC
20,sample_385,BRCA,BRCA,BRCA,BRCA
21,sample_311,BRCA,BRCA,BRCA,BRCA
22,sample_6,KIRC,KIRC,KIRC,KIRC
23,sample_764,KIRC,KIRC,KIRC,KIRC
24,sample_278,KIRC,KIRC,KIRC,KIRC
25,sample_88,KIRC,KIRC,KIRC,KIRC
26,sample_75,LUAD,LUAD,LUAD,LUAD
27,sample_792,BRCA,BRCA,BRCA,BRCA
28,sample_393,BRCA,BRCA,BRCA,BRCA
29,sample_39,BRCA,BRCA,BRCA,BRCA
30,sample_645,LUAD,LUAD,LUAD,LUAD
31,sample_317,BRCA,BRCA,BRCA,BRCA
32,sample_793,BRCA,BRCA,BRCA,BRCA
33,sample_340,BRCA,BRCA,BRCA,BRCA
34,sample_115,KIRC,KIRC,KIRC,KIRC
35,sample_437,BRCA,BRCA,BRCA,BRCA
36,sample_386,BRCA,BRCA,BRCA,BRCA
37,sample_238,BRCA,BRCA,BRCA,BRCA
38,sample_622,BRCA,BRCA,BRCA,BRCA
39,sample_756,BRCA,BRCA,BRCA,BRCA
40,sample_337,BRCA,BRCA,BRCA,BRCA
41,sample_290,KIRC,KIRC,KIRC,KIRC
42,sample_239,KIRC,KIRC,KIRC,KIRC
43,sample_17,KIRC,KIRC,KIRC,KIRC
44,sample_581,LUAD,LUAD,LUAD,LUAD
45,sample_722,BRCA,BRCA,BRCA,BRCA
46,sample_13,BRCA,unknown,COAD,noise
47,sample_669,KIRC,KIRC,KIRC,KIRC
48,sample_475,LUAD,unknown,COAD,noise
49,sample_378,BRCA,BRCA,BRCA,BRCA
50,sample_198,LUAD,LUAD,LUAD,LUAD
51,sample_753,BRCA,BRCA,BRCA,BRCA
52,sample_102,BRCA,BRCA,BRCA,BRCA
53,sample_619,BRCA,BRCA,BRCA,BRCA
54,sample_341,BRCA,BRCA,BRCA,BRCA
55,sample_577,LUAD,unknown,COAD,noise
56,sample_140,BRCA,BRCA,BRCA,BRCA
57,sample_119,BRCA,BRCA,BRCA,BRCA
58,sample_520,BRCA,BRCA,BRCA,BRCA
59,sample_432,BRCA,BRCA,BRCA,BRCA
60,sample_106,LUAD,LUAD,LUAD,LUAD
61,sample_725,BRCA,BRCA,BRCA,BRCA
62,sample_775,BRCA,BRCA,BRCA,BRCA
63,sample_40,KIRC,KIRC,KIRC,KIRC
64,sample_103,KIRC,KIRC,KIRC,KIRC
65,sample_220,KIRC,KIRC,KIRC,KIRC
66,sample_494,LUAD,LUAD,LUAD,LUAD
67,sample_574,BRCA,unknown,COAD,noise
68,sample_779,LUAD,LUAD,LUAD,LUAD
69,sample_55,BRCA,unknown,COAD,noise
70,sample_558,LUAD,LUAD,LUAD,LUAD
71,sample_287,BRCA,BRCA,BRCA,BRCA
72,sample_760,BRCA,BRCA,BRCA,BRCA
73,sample_114,BRCA,BRCA,BRCA,BRCA
74,sample_487,LUAD,LUAD,LUAD,LUAD
75,sample_685,LUAD,LUAD,LUAD,LUAD
76,sample_83,BRCA,BRCA,BRCA,BRCA
77,sample_109,LUAD,LUAD,LUAD,LUAD
78,sample_313,LUAD,unknown,COAD,noise
79,sample_373,LUAD,unknown,COAD,noise
80,sample_297,BRCA,BRCA,BRCA,BRCA
81,sample_18,KIRC,KIRC,KIRC,KIRC
82,sample_784,BRCA,BRCA,BRCA,BRCA
83,sample_116,KIRC,KIRC,KIRC,KIRC
84,sample_461,LUAD,unknown,COAD,noise
85,sample_593,BRCA,BRCA,BRCA,BRCA
86,sample_111,BRCA,BRCA,BRCA,BRCA
87,sample_614,BRCA,BRCA,BRCA,BRCA
88,sample_152,BRCA,BRCA,BRCA,BRCA
89,sample_375,BRCA,BRCA,BRCA,BRCA
90,sample_224,LUAD,LUAD,LUAD,LUAD
91,sample_735,BRCA,BRCA,BRCA,BRCA
92,sample_547,KIRC,KIRC,KIRC,KIRC
93,sample_358,BRCA,BRCA,BRCA,BRCA
94,sample_144,LUAD,LUAD,LUAD,LUAD
95,sample_355,LUAD,LUAD,LUAD,LUAD
96,sample_222,KIRC,KIRC,KIRC,KIRC
97,sample_192,LUAD,LUAD,LUAD,LUAD
98,sample_644,LUAD,LUAD,LUAD,LUAD
99,sample_16,LUAD,LUAD,LUAD,LUAD
100,sample_201,KIRC,KIRC,KIRC,KIRC
101,sample_482,KIRC,KIRC,KIRC,KIRC
102,sample_599,LUAD,unknown,COAD,noise
103,sample_396,KIRC,unknown,COAD,noise
104,sample_781,KIRC,KIRC,KIRC,KIRC
105,sample_782,BRCA,BRCA,BRCA,BRCA
106,sample_117,KIRC,KIRC,KIRC,KIRC
107,sample_215,BRCA,BRCA,BRCA,BRCA
108,sample_283,LUAD,LUAD,LUAD,LUAD
109,sample_711,KIRC,KIRC,KIRC,KIRC
110,sample_462,LUAD,LUAD,LUAD,LUAD
111,sample_578,BRCA,BRCA,BRCA,BRCA
112,sample_163,BRCA,BRCA,BRCA,BRCA
113,sample_751,BRCA,BRCA,BRCA,BRCA
114,sample_151,LUAD,LUAD,LUAD,LUAD
115,sample_492,KIRC,KIRC,KIRC,KIRC
116,sample_573,BRCA,BRCA,BRCA,BRCA
117,sample_454,BRCA,BRCA,BRCA,BRCA
118,sample_0,PRAD,unknown,PRAD,PRAD
119,sample_2,PRAD,unknown,PRAD,noise
120,sample_3,PRAD,unknown,PRAD,PRAD
121,sample_5,PRAD,unknown,PRAD,PRAD
122,sample_7,PRAD,unknown,PRAD,PRAD
123,sample_9,PRAD,unknown,PRAD,PRAD
124,sample_12,PRAD,unknown,PRAD,PRAD
125,sample_19,PRAD,unknown,PRAD,PRAD
126,sample_26,COAD,unknown,COAD,COAD
127,sample_34,PRAD,unknown,PRAD,PRAD
128,sample_41,PRAD,unknown,PRAD,PRAD
129,sample_42,PRAD,BRCA,BRCA,BRCA
130,sample_46,PRAD,unknown,PRAD,PRAD
131,sample_47,COAD,unknown,COAD,COAD
